Accident Year,Accident Date/Time,Operator ID,Operator Name,Pipeline Location,Pipeline Type,Liquid Type,Accident City,Accident County,Accident State,Accident Latitude,Accident Longitude,Cause Category,Cause Subcategory,Unintentional Release (Barrels),Liquid Recovery (Barrels),Net Loss (Barrels),Liquid Ignition,Liquid Explosion,Pipeline Shutdown,All Costs,Address,City,County,State
2014,2/17/2014 9:15 AM,31618,ENTERPRISE PRODUCTS OPERATING LLC,ONSHORE,ABOVEGROUND,"HVL OR OTHER FLAMMABLE OR TOXIC FLUID, GAS",IOWA CITY,JOHNSON,IA,41.616693,-91.408465,NATURAL FORCE DAMAGE,TEMPERATURE,2.5,0.0,2.5,NO,NO,NO,10150,"{'road': 'American Legion Road Southeast', 'county': 'Johnson County', 'state': 'Iowa', 'postcode': '52240', 'country': 'United States of America', 'country_code': 'us', 1: 'Johnson County', 2: 'Iowa'}",Kapolei,Honolulu,Hawaii
2014,2/17/2014 10:50 AM,2339,CHEVRON PRODUCTS COMPANY - HAWAII,ONSHORE,UNDERGROUND,"REFINED AND/OR PETROLEUM PRODUCT (NON-HVL), LIQUID",KAPOLEI,HONOLULU,HI,21.316679999999998,-158.09993,CORROSION,EXTERNAL,3.0,3.0,0.0,NO,NO,YES,42333,"{'road': 'Kalaeloa Boulevard', 'neighbourhood': 'West Kapolei', 'suburb': 'Makakilo City', 'city': 'Kapolei', 'county': 'Honolulu County', 'state': 'Hawaii', 'postcode': '96707', 'country': 'United States of America', 'country_code': 'us', 0: 'Kapolei', 1: 'Honolulu County', 2: 'Hawaii'}",White Oak,Gregg,Texas
2014,2/18/2014 12:00 PM,18718,SUNOCO PIPELINE L.P.,ONSHORE,UNDERGROUND,CRUDE OIL,WHITE OAK,GREGG,TX,32.519797,-94.870959,MATERIAL/WELD/EQUIP FAILURE,FAILURE OF EQUIPMENT BODY,0.48,0.0,0.48,NO,NO,YES,7000,"{'road': 'Walking M Road', 'village': 'White Oak', 'county': 'Gregg County', 'state': 'Texas', 'postcode': '75693', 'country': 'United States of America', 'country_code': 'us', 1: 'Gregg County', 2: 'Texas'}",Gard,Madison,Illinois
2014,2/18/2014 6:20 PM,32147,MARATHON PIPE LINE LLC,ONSHORE,ABOVEGROUND,"REFINED AND/OR PETROLEUM PRODUCT (NON-HVL), LIQUID",EDWARDSVILLE,MADISON,IL,38.863322,-89.958939,INCORRECT OPERATION,DAMAGE BY OPERATOR OR OPERATOR'S CONTRACTOR,0.2,0.2,0.0,NO,NO,YES,19024,"{'house_number': '5626', 'road': 'IL 159', 'hamlet': 'Gard', 'county': 'Madison', 'state': 'Illinois', 'postcode': '62025', 'country': 'United States of America', 'country_code': 'us', 1: 'Madison', 2: 'Illinois'}",,,
2014,2/19/2014 6:18 AM,31574,WESTERN REFINING PIPELINE COMPANY,ONSHORE,ABOVEGROUND,CRUDE OIL,ORLA,REEVES,TX,31.8063,-103.81461,MATERIAL/WELD/EQUIP FAILURE,OTHER EQUIPMENT FAILURE,4.0,2.5,1.5,NO,NO,YES,15908,,,McKenzie,North Dakota
2014,2/19/2014 10:20 AM,31570,TESORO HIGH PLAINS PIPELINE COMPANY LLC,ONSHORE,UNDERGROUND,CRUDE OIL,CARTWRIGHT,MCKENZIE,ND,47.78822,-103.97761,EXCAVATION DAMAGE,OPERATOR/CONTRACTOR EXCAVATION DAMAGE,65.0,65.0,0.0,NO,NO,YES,72700,"{'road': 'County Road 3', 'county': 'McKenzie County', 'state': 'North Dakota', 'country': 'United States of America', 'country_code': 'us', 1: 'McKenzie County', 2: 'North Dakota'}",Los Angeles,Los Angeles,California
2014,2/19/2014 6:13 PM,999,"PACIFIC COAST ENERGY COMPANY, LP",ONSHORE,UNDERGROUND,CRUDE OIL,LOS ANGELES,LOS ANGELES,CA,34.044058,-118.44136200000001,CORROSION,INTERNAL,15.0,12.0,3.0,NO,NO,YES,232500,"{'shop': 'Public Storage', 'road': 'Pontius Avenue', 'neighbourhood': 'West Los Angeles', 'suburb': 'Sawtelle', 'city': 'Los Angeles', 'county': 'Los Angeles County', 'state': 'California', 'postcode': '90064-1508', 'country': 'United States of America', 'country_code': 'us', 0: 'Los Angeles', 1: 'Los Angeles County', 2: 'California'}",Cushing,Payne,Oklahoma
2014,2/20/2014 11:00 AM,32551,"BKEP PIPELINE, LLC",ONSHORE,TANK,CRUDE OIL,CUSHING,PAYNE,OK,36.00758,-96.75135,NATURAL FORCE DAMAGE,TEMPERATURE,1.5,1.5,0.0,NO,NO,NO,32617,"{'road': 'North Linwood Avenue', 'town': 'Cushing', 'county': 'Payne County', 'state': 'Oklahoma', 'postcode': '74023', 'country': 'United States of America', 'country_code': 'us', 1: 'Payne County', 2: 'Oklahoma'}",,,
2014,2/20/2014 2:30 PM,12470,MID - VALLEY PIPELINE CO,ONSHORE,ABOVEGROUND,CRUDE OIL,SAMARIA,MONROE,MI,41.806608000000004,-83.601248,INCORRECT OPERATION,OVERFILL/OVERFLOW OF TANK/VESSEL/SUMP,0.9,0.9,0.0,NO,NO,NO,1720,,Delombre,East Feliciana Parish,Louisiana
2014,2/21/2014 2:20 AM,2552,COLONIAL PIPELINE CO,ONSHORE,ABOVEGROUND,"REFINED AND/OR PETROLEUM PRODUCT (NON-HVL), LIQUID",JACKSON,EAST FELICIANA,LA,30.71051,-91.28333,MATERIAL/WELD/EQUIP FAILURE,NON-THREADED CONNECTION FAILURE,0.3,0.3,0.0,NO,NO,YES,2830,"{'hamlet': 'Delombre', 'county': 'East Feliciana Parish', 'state': 'Louisiana', 'country': 'United States of America', 'country_code': 'us', 1: 'East Feliciana Parish', 2: 'Louisiana'}",China Grove,Scurry,Texas
