Accident Year,Accident Date/Time,Operator ID,Operator Name,Pipeline Location,Pipeline Type,Liquid Type,Accident City,Accident County,Accident State,Accident Latitude,Accident Longitude,Cause Category,Cause Subcategory,Unintentional Release (Barrels),Liquid Recovery (Barrels),Net Loss (Barrels),Liquid Ignition,Liquid Explosion,Pipeline Shutdown,All Costs
2013,8/1/2013 1:00 PM,26041,"KINDER MORGAN LIQUID TERMINALS, LLC",ONSHORE,ABOVEGROUND,"REFINED AND/OR PETROLEUM PRODUCT (NON-HVL), LIQUID",PASADENA,HARRIS,TX,40.52243,-74.25384,INCORRECT OPERATION,OTHER INCORRECT OPERATION,80.0,80.0,0.0,NO,NO,YES,5500
2013,8/1/2013 8:00 PM,26134,EXXONMOBIL OIL CORP - WEST COAST,ONSHORE,UNDERGROUND,CRUDE OIL,MCKITTRICK,KERN,CA,35.431862,-119.68993,CORROSION,EXTERNAL,10.65,10.65,0.0,NO,NO,,44100
2013,8/3/2013 9:18 AM,11169,"ENBRIDGE ENERGY, LIMITED PARTNERSHIP",ONSHORE,ABOVEGROUND,CRUDE OIL,GRIFFITH,LAKE,IN,41.51616,-87.44906,MATERIAL/WELD/EQUIP FAILURE,OTHER EQUIPMENT FAILURE,160.0,160.0,0.0,NO,NO,YES,836469
2013,8/4/2013 9:00 PM,31618,ENTERPRISE PRODUCTS OPERATING LLC,ONSHORE,ABOVEGROUND,"REFINED AND/OR PETROLEUM PRODUCT (NON-HVL), LIQUID",SEYMOUR,JACKSON,IN,39.025586,-85.851089,MATERIAL/WELD/EQUIP FAILURE,PUMP OR PUMP-RELATED EQUIPMENT,0.7,0.7,0.0,NO,NO,NO,9150
2013,8/5/2013 12:00 AM,38933,TESORO LOGISTICS OPERATIONS LLC - SOUTHERN CALIFORNIA,ONSHORE,UNDERGROUND,"REFINED AND/OR PETROLEUM PRODUCT (NON-HVL), LIQUID",CARSON,LOS ANGELES,CA,33.806255,-118.229308,EXCAVATION DAMAGE,PREVIOUS DAMAGE DUE TO EXCAVATION,130.0,130.0,0.0,NO,NO,NO,2907080
2013,8/6/2013 2:00 PM,22855,"KOCH PIPELINE COMPANY, L.P.",ONSHORE,UNDERGROUND,CRUDE OIL,FOLEY,BENTON,MN,45.698036,-93.997047,MATERIAL/WELD/EQUIP FAILURE,OTHER EQUIPMENT FAILURE,0.24,0.24,0.0,NO,NO,YES,60958
2013,8/8/2013 8:28 AM,12470,MID - VALLEY PIPELINE CO,ONSHORE,ABOVEGROUND,CRUDE OIL,OREGON,LUCAS,OH,41.67284,-83.45352,CORROSION,INTERNAL,2.0,2.0,0.0,NO,NO,NO,10119
2013,8/8/2013 10:50 AM,1845,"BUCKEYE PARTNERS, LP",ONSHORE,ABOVEGROUND,"REFINED AND/OR PETROLEUM PRODUCT (NON-HVL), LIQUID",VESTAL,BROOME,NY,42.1043,-75.9956,CORROSION,INTERNAL,2.5,2.5,0.0,NO,NO,,52720
2013,8/8/2013 12:42 PM,18092,"SFPP, LP",ONSHORE,TANK,"REFINED AND/OR PETROLEUM PRODUCT (NON-HVL), LIQUID",CONCORD,CONTRA COSTA,CA,38.003663,-122.056224,MATERIAL/WELD/EQUIP FAILURE,"CONSTRUCTION, INSTALLATION OR FABRICATION-RELATED",1.36,1.36,0.0,NO,NO,NO,427913
2013,8/9/2013 11:20 AM,18718,SUNOCO PIPELINE L.P.,ONSHORE,UNDERGROUND,CRUDE OIL,LIBERTY,LIBERTY,TX,30.02448,-94.79471,CORROSION,INTERNAL,0.5,0.0,0.5,NO,NO,NO,6553
2013,8/10/2013 12:44 PM,4906,EXXONMOBIL PIPELINE CO,ONSHORE,UNDERGROUND,CRUDE OIL,LONGVIEW,GREGG,TX,32.483216999999996,-94.83103299999999,INCORRECT OPERATION,OTHER INCORRECT OPERATION,0.48,0.48,0.0,YES,NO,NO,4850
2013,8/12/2013 6:58 PM,2552,COLONIAL PIPELINE CO,ONSHORE,ABOVEGROUND,"REFINED AND/OR PETROLEUM PRODUCT (NON-HVL), LIQUID",AVENEL,MIDDLESEX,NJ,40.57741,-74.24819000000001,MATERIAL/WELD/EQUIP FAILURE,OTHER EQUIPMENT FAILURE,0.6,0.6,0.0,NO,NO,YES,15325
2013,8/12/2013 11:10 PM,31618,ENTERPRISE PRODUCTS OPERATING LLC,ONSHORE,UNDERGROUND,"HVL OR OTHER FLAMMABLE OR TOXIC FLUID, GAS",ERIE,WHITESIDE,IL,41.697666999999996,-90.09862700000001,MATERIAL/WELD/EQUIP FAILURE,MANUFACTURING-RELATED,18400.0,0.0,18400.0,YES,YES,YES,515000
